node_id,consumption,con_rx,con_tx,con_standby,con_sleep,sink_rx_success,sink_tx_success,sink_delay_avg,rx_all_p,rx_fail_col,rx_fail_dup,rx_fail_buf,rx_buf_max,gen_p,tx_all_p,tx_success_p,tx_fail_per,tx_fail_col,tx_fail_dup,tx_fail_buf,links
Network,1932.4067041067997,33.580396250132154,3.494018851846871,0.1056448364400062,0.015322377425681459,50,50,116878333.85748692,123340,16108,30695,3989,21,51,2530,2529,77420,16108,30695,3989,
0,38413.00684421327,38240.85124625448,68.51017356562498,88.34163228000976,15.303792107876562,0,0,0,2529,465,927,0,0,1,1; 26,6,24,17,0,9,|{'1': 1, '2': 1, '3': 1, '4': 1, '5': 1, '6': 1, '7': 1, '8': 1, '9': 1, '10': 1, '11': 1, '12': 0, '13': 1, '14': 0, '15': 1, '16': 1, '17': 1, '18': 0, '19': 1, '20': 0, '21': 1, '22': 1, '23': 0, '24': 0, '25': 0, '26': 0, '27': 0, '28': 0, '29': 1, '30': 0, '31': 1, '32': 0, '33': 1, '34': 0, '35': 0, '36': 0, '37': 0, '38': 0, '39': 0, '40': 1, '41': 1, '42': 1, '43': 1, '44': 0, '45': 0, '46': 0, '47': 0, '48': 1, '49': 0, '50': 0}|
1,37761.387845087855,34216.55002955073,3425.508678281246,105.24123918000423,14.087898069712464,1,1,259382207.9293003,2480,691,541,134,21,1,50; 1119,40,1381,340,870,48,|{'0': 43, '2': 37, '3': 25, '4': 8, '5': 37, '6': 47, '7': 21, '8': 48, '9': 36, '10': 13, '11': 26, '12': 19, '13': 20, '14': 22, '15': 14, '16': 20, '17': 44, '18': 15, '19': 18, '20': 20, '21': 33, '22': 37, '23': 18, '24': 24, '25': 23, '26': 11, '27': 11, '28': 22, '29': 18, '30': 12, '31': 10, '32': 10, '33': 38, '34': 13, '35': 21, '36': 22, '37': 13, '38': 16, '39': 22, '40': 26, '41': 33, '42': 38, '43': 10, '44': 12, '45': 15, '46': 17, '47': 17, '48': 18, '49': 12, '50': 14}|
2,36496.28276703128,32880.511893654395,3494.018851846871,106.46583354000718,15.286187983356582,1,1,134223763.49791336,2479,480,664,26,21,1,51; 1020,73,1530,436,629,87,|{'0': 28, '1': 38, '3': 29, '4': 16, '5': 35, '6': 34, '7': 21, '8': 39, '9': 31, '10': 11, '11': 34, '12': 12, '13': 11, '14': 20, '15': 17, '16': 19, '17': 27, '18': 13, '19': 22, '20': 10, '21': 24, '22': 39, '23': 22, '24': 31, '25': 22, '26': 8, '27': 8, '28': 31, '29': 14, '30': 12, '31': 8, '32': 5, '33': 26, '34': 6, '35': 15, '36': 37, '37': 18, '38': 6, '39': 30, '40': 19, '41': 25, '42': 22, '43': 9, '44': 21, '45': 14, '46': 14, '47': 10, '48': 14, '49': 26, '50': 17}|
3,37592.10626228041,33971.05847423357,3494.018851846871,112.27190436000414,14.757031832546367,1,1,63252731.80278492,2377,147,592,99,21,1,51; 794,17,1654,185,631,43,|{'0': 17, '1': 26, '2': 31, '4': 37, '5': 13, '6': 20, '7': 10, '8': 21, '9': 10, '10': 8, '11': 16, '12': 5, '13': 9, '14': 13, '15': 7, '16': 26, '17': 19, '18': 13, '19': 10, '20': 8, '21': 15, '22': 29, '23': 11, '24': 26, '25': 35, '26': 5, '27': 7, '28': 21, '29': 6, '31': 5, '33': 17, '34': 4, '35': 7, '36': 49, '37': 29, '38': 5, '39': 23, '40': 14, '41': 11, '42': 14, '43': 11, '44': 26, '45': 16, '46': 28, '47': 8, '48': 10, '49': 28, '50': 15}|
4,38434.623855574995,34829.43148147179,3494.018851846871,96.60078252000683,14.572739728967997,1,1,16268016.92677164,2377,143,543,10,21,1,51; 712,63,1736,267,415,93,|{'0': 14, '1': 16, '2': 21, '3': 36, '5': 6, '6': 15, '7': 11, '8': 8, '9': 15, '10': 9, '11': 12, '12': 3, '13': 6, '14': 5, '15': 14, '16': 42, '17': 16, '18': 5, '19': 11, '20': 3, '21': 10, '22': 18, '23': 31, '24': 10, '25': 47, '26': 5, '27': 4, '28': 15, '29': 7, '31': 3, '33': 17, '34': 10, '35': 5, '36': 42, '37': 31, '38': 6, '39': 14, '40': 12, '41': 9, '42': 15, '43': 8, '44': 13, '45': 10, '46': 44, '47': 8, '48': 11, '49': 34, '50': 5}|
5,37933.42717117088,34316.19690134725,3494.018851846871,108.52867674000582,14.68274122988184,1,1,25652155.003481388,2479,488,666,90,21,1,51; 1140,43,1410,463,811,61,|{'0': 46, '1': 40, '2': 30, '3': 19, '4': 15, '6': 32, '7': 32, '8': 44, '9': 26, '10': 16, '11': 49, '12': 15, '13': 23, '14': 24, '15': 20, '16': 16, '17': 30, '18': 14, '19': 40, '20': 10, '21': 25, '22': 49, '23': 12, '24': 36, '25': 15, '26': 9, '27': 8, '28': 39, '29': 19, '30': 11, '31': 16, '32': 11, '33': 38, '34': 5, '35': 15, '36': 8, '37': 10, '38': 12, '39': 26, '40': 32, '41': 30, '42': 32, '43': 20, '44': 20, '45': 12, '46': 18, '47': 18, '48': 15, '49': 12, '50': 26}|
6,38701.28922980939,35085.08637354241,3494.018851846871,107.08868412000723,15.095320293520954,1,1,53366440.74490404,2479,557,718,47,21,1,51; 1238,48,1312,372,851,139,|{'0': 44, '1': 48, '2': 36, '3': 23, '4': 21, '5': 34, '7': 32, '8': 50, '9': 41, '10': 21, '11': 36, '12': 18, '13': 18, '14': 27, '15': 16, '16': 21, '17': 47, '18': 22, '19': 25, '20': 20, '21': 34, '22': 36, '23': 23, '24': 26, '25': 20, '26': 20, '27': 13, '28': 25, '29': 24, '30': 12, '31': 14, '32': 10, '33': 47, '34': 3, '35': 20, '36': 19, '37': 9, '38': 21, '39': 26, '40': 24, '41': 43, '42': 47, '43': 15, '44': 10, '45': 12, '46': 14, '47': 22, '48': 13, '49': 17, '50': 19}|
7,37973.847579634166,34360.572667385226,3494.018851846871,105.0347390400054,14.221321355606351,1,1,70631649.99598885,2479,592,644,82,21,1,51; 1107,29,1443,339,831,78,|{'0': 36, '1': 24, '2': 17, '3': 14, '4': 6, '5': 35, '6': 27, '8': 30, '9': 26, '10': 18, '11': 31, '12': 23, '13': 37, '14': 46, '15': 14, '16': 7, '17': 29, '18': 33, '19': 27, '20': 19, '21': 28, '22': 26, '23': 9, '24': 20, '25': 11, '26': 22, '27': 16, '28': 19, '29': 38, '30': 22, '31': 20, '32': 18, '33': 40, '34': 8, '35': 24, '36': 13, '37': 9, '38': 16, '39': 13, '40': 51, '41': 28, '42': 33, '43': 29, '44': 10, '45': 11, '46': 13, '47': 27, '48': 10, '49': 10, '50': 14}|
8,34652.30799297435,31174.156722175885,3356.998504715621,106.64620560000465,14.506560480950805,1,1,26209202.060801983,2481,714,503,200,21,1,49; 1127,36,1323,394,847,27,|{'0': 45, '1': 43, '2': 35, '3': 20, '4': 12, '5': 44, '6': 47, '7': 31, '9': 34, '10': 16, '11': 41, '12': 13, '13': 21, '14': 23, '15': 12, '16': 16, '17': 37, '18': 18, '19': 31, '20': 17, '21': 26, '22': 37, '23': 19, '24': 23, '25': 13, '26': 10, '27': 8, '28': 29, '29': 22, '30': 10, '31': 9, '32': 11, '33': 40, '34': 13, '35': 19, '36': 14, '37': 13, '38': 13, '39': 24, '40': 24, '41': 39, '42': 44, '43': 12, '44': 14, '45': 11, '46': 12, '47': 17, '48': 15, '49': 16, '50': 14}|
9,37647.364431066424,34027.03451382997,3494.018851846871,111.07779210000774,15.233273282841358,1,1,39275409.76232481,2479,461,793,53,21,1,51; 1207,54,1343,350,848,110,|{'0': 40, '1': 37, '2': 24, '3': 14, '4': 16, '5': 28, '6': 38, '7': 27, '8': 37, '10': 28, '11': 25, '12': 23, '13': 18, '14': 27, '15': 30, '16': 17, '17': 47, '18': 27, '19': 22, '20': 25, '21': 50, '22': 23, '23': 16, '24': 16, '25': 15, '26': 26, '27': 24, '28': 24, '29': 24, '30': 11, '31': 19, '32': 9, '33': 39, '34': 16, '35': 23, '36': 20, '37': 13, '38': 17, '39': 16, '40': 27, '41': 51, '42': 40, '43': 23, '44': 11, '45': 19, '46': 13, '47': 25, '48': 23, '49': 9, '50': 15}|
