id,x,y,drift,activation,sf6_ptx7_urban,sf6_ptx7_forest,sf6_ptx7_coast,sf6_ptx13_urban,sf6_ptx13_forest,sf6_ptx13_coast,sf6_ptx17_urban,sf6_ptx17_forest,sf6_ptx17_coast,sf6_ptx20_urban,sf6_ptx20_forest,sf6_ptx20_coast,sf7_ptx7_urban,sf7_ptx7_forest,sf7_ptx7_coast,sf7_ptx13_urban,sf7_ptx13_forest,sf7_ptx13_coast,sf7_ptx17_urban,sf7_ptx17_forest,sf7_ptx17_coast,sf7_ptx20_urban,sf7_ptx20_forest,sf7_ptx20_coast,sf8_ptx7_urban,sf8_ptx7_forest,sf8_ptx7_coast,sf8_ptx13_urban,sf8_ptx13_forest,sf8_ptx13_coast,sf8_ptx17_urban,sf8_ptx17_forest,sf8_ptx17_coast,sf8_ptx20_urban,sf8_ptx20_forest,sf8_ptx20_coast,sf9_ptx7_urban,sf9_ptx7_forest,sf9_ptx7_coast,sf9_ptx13_urban,sf9_ptx13_forest,sf9_ptx13_coast,sf9_ptx17_urban,sf9_ptx17_forest,sf9_ptx17_coast,sf9_ptx20_urban,sf9_ptx20_forest,sf9_ptx20_coast,sf10_ptx7_urban,sf10_ptx7_forest,sf10_ptx7_coast,sf10_ptx13_urban,sf10_ptx13_forest,sf10_ptx13_coast,sf10_ptx17_urban,sf10_ptx17_forest,sf10_ptx17_coast,sf10_ptx20_urban,sf10_ptx20_forest,sf10_ptx20_coast,sf11_ptx7_urban,sf11_ptx7_forest,sf11_ptx7_coast,sf11_ptx13_urban,sf11_ptx13_forest,sf11_ptx13_coast,sf11_ptx17_urban,sf11_ptx17_forest,sf11_ptx17_coast,sf11_ptx20_urban,sf11_ptx20_forest,sf11_ptx20_coast,sf12_ptx7_urban,sf12_ptx7_forest,sf12_ptx7_coast,sf12_ptx13_urban,sf12_ptx13_forest,sf12_ptx13_coast,sf12_ptx17_urban,sf12_ptx17_forest,sf12_ptx17_coast,sf12_ptx20_urban,sf12_ptx20_forest,sf12_ptx20_coast
0,250.0,250.0,-3,191835651,1:0.6520571256743062;2:0.34454244915155774;3:0.7691726168757171,1:0.9539411638801892;2:0.7667505427407356;3:0.9822087852490995,1:0.355607648086502;2:0.21300998652248665;3:0.426860216746377,1:0.4433610701116575;2:0.17529885096141568;3:0.5803509765007699,1:0.7913082027346597;2:0.4422863103670943;3:0.8903337263334237,1:0.2781564431880159;2:0.15526196988630542;3:0.3436668596400162,1:0.3092389787481351;2:0.09870145478285064;3:0.43929214949651096,1:0.5904595076970207;2:0.2334853527158226;3:0.74088079627267,1:0.2315570874421815;2:0.12312113966008997;3:0.2918879372506264,1:0.22223245906645217;2:0.05989533874973102;3:0.33745066654980016,1:0.4176324174519123;2:0.12219215797534594;3:0.5829249810360562,1:0.19967579349976228;2:0.10229613086812556;3:0.25561329645318587,1:0.4786411945342774;2:0.1991833906122571;3:0.6147344754912082,1:0.8305975295703324;2:0.5001537133394534;3:0.9152582429199876,1:0.29048222968460935;2:0.16409334259643127;3:0.3571356701863588,1:0.27863626717130796;2:0.0841209399452873;3:0.40452452458782695,1:0.5331405251094156;2:0.19133776810741582;3:0.6916394651985895,1:0.2206265159754327;2:0.1158726026242522;3:0.2795334195512164,1:0.17298036187945987;2:0.04150958386712039;3:0.27518407319797794,1:0.30886331703787484;2:0.07280435258927942;3:0.4674272085182338,1:0.17996967220493787;2:0.08991526339263572;3:0.2328082505857731,1:0.11330842246102607;2:0.02274488247293005;3:0.19382821919914017,1:0.17469938906693322;2:0.029252153153094873;3:0.3020826209289229,1:0.1527920494856586;2:0.07348349856055897;3:0.2008241561347079,1:0.3743966674017945;2:0.1332393391000518;3:0.5099779678581711,1:0.6984152304217364;2:0.33131102066383955;3:0.8256680522222938,1:0.2542972599823381;2:0.13855727797209455;3:0.3173304542733507,1:0.19667325403154523;2:0.05003218082814537;3:0.3056145892800003,1:0.3618513908029153;2:0.09515571702666137;3:0.5254438602059113,1:0.18966532767043182;2:0.09595892035040954;3:0.2440671194764769,1:0.11330842246102607;2:0.02274488247293005;3:0.19382821919914017,1:0.17469938906693322;2:0.029252153153094873;3:0.3020826209289229,1:0.1527920494856586;2:0.07348349856055897;3:0.2008241561347079,1:0.07000061999532209;2:0.011702326106894145;3:0.129123978588022,1:0.084963668766174;2:0.00994063098531206;3:0.16976324751608146,1:0.1284847157470646;2:0.059453288930970793;3:0.17163287425786172,1:0.3092389787481351;2:0.09870145478285064;3:0.43929214949651096,1:0.5904595076970207;2:0.2334853527158226;3:0.74088079627267,1:0.2315570874421815;2:0.12312113966008997;3:0.2918879372506264,1:0.15119024254117985;2:0.03420326354321723;3:0.24632583050762275,1:0.25958178107266294;2:0.0547129181477673;3:0.4100955413988159,1:0.1705913258378014;2:0.08415917196362727;3:0.2218440361554062,1:0.08273650683600231;2:0.014707671511764775;3:0.14878629293693862,1:0.10993442781789542;2:0.014517138727658474;3:0.20910205894296607,1:0.13626982732591547;2:0.06387571088874033;3:0.18104709588433654,1:0.04910804701971;2:0.00725181600366015;3:0.09538245329383105,1:0.048100381573303985;2:0.00440033126272843;3:0.10634143957297065,1:0.11385399916899369;2:0.051331278452488305;3:0.1537615405145044,1:0.22223245906645217;2:0.05989533874973102;3:0.33745066654980016,1:0.4176324174519123;2:0.12219215797534594;3:0.5829249810360562,1:0.19967579349976228;2:0.10229613086812556;3:0.25561329645318587,1:0.09714218425138532;2:0.018354485995059455;3:0.1703548004152441,1:0.13977817305956253;2:0.02080196302374382;3:0.2533514155379498,1:0.14437168692773433;2:0.06854984603257719;3:0.19077839058335083,1:0.04910804701971;2:0.00725181600366015;3:0.09538245329383105,1:0.048100381573303985;2:0.00440033126272843;3:0.10634143957297065,1:0.11385399916899369;2:0.051331278452488305;3:0.1537615405145044,1:0.027414372924153607;2:0.003351924376658988;3:0.057629799339838916,1:0.017853895194387293;2:0.0011201235048156066;3:0.04619690715076713,1:0.0941986246334845;2:0.04083025479162883;3:0.12934677352385893,1:0.17298036187945987;2:0.04150958386712039;3:0.27518407319797794,1:0.30886331703787484;2:0.07280435258927942;3:0.4674272085182338,1:0.17996967220493787;2:0.08991526339263572;3:0.2328082505857731,1:0.07000061999532209;2:0.011702326106894145;3:0.129123978588022,1:0.084963668766174;2:0.00994063098531206;3:0.16976324751608146,1:0.1284847157470646;2:0.059453288930970793;3:0.17163287425786172,1:0.033524758755219375;2:0.004366676273841852;3:0.06862667380675208,1:0.02531048780807499;2:0.0018023916777763493;3:0.06210468256450602,1:0.10045119498951222;2:0.04411761916677859;3:0.13716748904096848,1:0.01795219138965165;2:0.0019324306227440635;3:0.039821252747548885,1:0.008393038194428215;2:0.00040771394919364434;3:0.02418950095346495,1:0.08256302531587112;2:0.03485176188104344;3:0.11464588422928768,1:0.11330842246102607;2:0.02274488247293005;3:0.19382821919914017,1:0.17469938906693322;2:0.029252153153094873;3:0.3020826209289229,1:0.1527920494856586;2:0.07348349856055897;3:0.2008241561347079,1:0.04071459763515678;2:0.005647605676679712;3:0.08117543202890215,1:0.03521629412082494;2:0.002843850790907154;3:0.08199413899011615,1:0.10700128735604941;2:0.047615120568938185;3:0.14530518876410303,1:0.01795219138965165;2:0.0019324306227440635;3:0.039821252747548885,1:0.008393038194428215;2:0.00040771394919364434;3:0.02418950095346495,1:0.08256302531587112;2:0.03485176188104344;3:0.11464588422928768,1:0.009022942368644427;2:0.0008006968267787462;3:0.021721232535646395,1:0.002341687472993237;2:7.710645155162288e-05;3:0.007960853190354611,1:0.06718526401525426;2:0.027247327877189143;3:0.09488893897645889
1,236.7719760478581,176.28274544131372,-3,110044721,0:0.6520571256743062;2:0.3881320760933109;3:0.7358611015809313,0:0.9539411638801892;2:0.8073839895798444;3:0.975817797389029,0:0.355607648086502;2:0.231588233979034;3:0.40471583834501856,0:0.4433610701116575;2:0.20681447678780507;3:0.5387574407913478,0:0.7913082027346597;2:0.49797900113502874;3:0.8645059793766927,0:0.2781564431880159;2:0.17061724290741215;3:0.3230230956293919,0:0.3092389787481351;2:0.12038192188828617;3:0.3981063182174306,0:0.5904595076970207;2:0.27849858741869765;3:0.697962158400306,0:0.2315570874421815;2:0.13629215753845103;3:0.27270131882472937,0:0.22223245906645217;2:0.07496958416825988;3:0.2998199598751515,0:0.4176324174519123;2:0.1529202901757339;3:0.5326238418987629,0:0.19967579349976228;2:0.11387369378814183;3:0.23770180577841493,0:0.4786411945342774;2:0.23311240141787504;3:0.5738531812796311,0:0.8305975295703324;2:0.5558653483578572;3:0.8936821202972913,0:0.29048222968460935;2:0.17999648391498857;3:0.3361799668150304,0:0.27863626717130796;2:0.10348004356829849;3:0.36424283943179836,0:0.5331405251094156;2:0.23181948554145881;3:0.6454213186343197,0:0.2206265159754327;2:0.1285061587179704;3:0.26075683610832057,0:0.17298036187945987;2:0.052882593443093984;3:0.2411225559884146,0:0.30886331703787484;2:0.0942365382493856;3:0.4171251305683416,0:0.17996967220493787;2:0.10046918845405423;3:0.2158120408140407,0:0.11330842246102607;2:0.02976958459918616;3:0.16618209263845057,0:0.17469938906693322;2:0.03990489290914184;3:0.2591607788594861,0:0.1527920494856586;2:0.08257858359929121;3:0.18526880410701535,0:0.3743966674017945;2:0.1597947200727765;3:0.4679301558971584,0:0.6984152304217364;2:0.38354374129434976;3:0.7909348490971477,0:0.2542972599823381;2:0.15281617002910686;3:0.2973759443382799,0:0.19667325403154523;2:0.06317744468288816;3:0.26967134101169576,0:0.3618513908029153;2:0.12109122041730541;3:0.4746072573028427,0:0.18966532767043182;2:0.10702012463277644;3:0.22660774186471316,0:0.11330842246102607;2:0.02976958459918616;3:0.16618209263845057,0:0.17469938906693322;2:0.03990489290914184;3:0.2591607788594861,0:0.1527920494856586;2:0.08257858359929121;3:0.18526880410701535,0:0.07000061999532209;2:0.015743725109353734;3:0.10822379767210455,0:0.084963668766174;2:0.014317618312424896;3:0.13948943814141584,0:0.1284847157470646;2:0.06719855765356458;3:0.15756448791437228,0:0.3092389787481351;2:0.12038192188828617;3:0.3981063182174306,0:0.5904595076970207;2:0.27849858741869765;3:0.697962158400306,0:0.2315570874421815;2:0.13629215753845103;3:0.27270131882472937,0:0.15119024254117985;2:0.043965602258957126;3:0.2143013294098851,0:0.25958178107266294;2:0.07205301424524607;3:0.36136446180446247,0:0.1705913258378014;2:0.09421578938855601;3:0.2053205490770703,0:0.08273650683600231;2:0.019605363000813114;3:0.12566175423483733,0:0.10993442781789542;2:0.02053059388623768;3:0.17436496610482644,0:0.13626982732591547;2:0.07205785111821161;3:0.16648032886129388,0:0.04910804701971;2:0.009939198184342246;3:0.07870924685891711,0:0.048100381573303985;2:0.006576624099210837;3:0.08476169243701653,0:0.11385399916899369;2:0.05824408849939744;3:0.14069124508573583,0:0.22223245906645217;2:0.07496958416825988;3:0.2998199598751515,0:0.4176324174519123;2:0.1529202901757339;3:0.5326238418987629,0:0.19967579349976228;2:0.11387369378814183;3:0.23770180577841493,0:0.09714218425138532;2:0.02424324099181724;3:0.14497034640411538,0:0.13977817305956253;2:0.028890800013139928;3:0.21432752525114773,0:0.14437168692773433;2:0.07718208940943455;3:0.17571549865562314,0:0.04910804701971;2:0.009939198184342246;3:0.07870924685891711,0:0.048100381573303985;2:0.006576624099210837;3:0.08476169243701653,0:0.11385399916899369;2:0.05824408849939744;3:0.14069124508573583,0:0.027414372924153607;2:0.004725392882012014;3:0.04643256902592535,0:0.017853895194387293;2:0.0017711959062824412;3:0.03511548750290766,0:0.0941986246334845;2:0.046601629824221114;3:0.11775781749917691,0:0.17298036187945987;2:0.052882593443093984;3:0.2411225559884146,0:0.30886331703787484;2:0.0942365382493856;3:0.4171251305683416,0:0.17996967220493787;2:0.10046918845405423;3:0.2158120408140407,0:0.07000061999532209;2:0.015743725109353734;3:0.10822379767210455,0:0.084963668766174;2:0.014317618312424896;3:0.13948943814141584,0:0.1284847157470646;2:0.06719855765356458;3:0.15756448791437228,0:0.033524758755219375;2:0.0060981527158263105;3:0.055738984162907845,0:0.02531048780807499;2:0.002796679525783108;3:0.04797057561976098,0:0.10045119498951222;2:0.05025492938131526;3:0.1250884686781124,0:0.01795219138965165;2:0.0027764259029298133;3:0.03156663749127159,0:0.008393038194428215;2:0.0006697150067161983;3:0.017796842962683468,0:0.08256302531587112;2:0.03993523729215598;3:0.10402040781656419,0:0.11330842246102607;2:0.02976958459918616;3:0.16618209263845057,0:0.17469938906693322;2:0.03990489290914184;3:0.2591607788594861,0:0.1527920494856586;2:0.08257858359929121;3:0.18526880410701535,0:0.04071459763515678;2:0.00781324849369891;3:0.06645870478316501,0:0.03521629412082494;2:0.004330498764048618;3:0.06434384183352221,0:0.10700128735604941;2:0.05413295290516984;3:0.13273200075177727,0:0.01795219138965165;2:0.0027764259029298133;3:0.03156663749127159,0:0.008393038194428215;2:0.0006697150067161983;3:0.017796842962683468,0:0.08256302531587112;2:0.03993523729215598;3:0.10402040781656419,0:0.009022942368644427;2:0.0011838872612806584;3:0.01679671129662058,0:0.002341687472993237;2:0.00013417700704065894;3:0.005570893839933477,0:0.06718526401525426;2:0.031408161466504436;3:0.08565255900992524
2,240.38894758316,215.77131208674328,-10,237009731,0:0.34454244915155774;1:0.3881320760933109;3:0.7149263457882747,0:0.7667505427407356;1:0.8073839895798444;3:0.9711674934955811,0:0.21300998652248665;1:0.231588233979034;3:0.3916708137915475,0:0.17529885096141568;1:0.20681447678780507;3:0.513761269084454,0:0.4422863103670943;1:0.49797900113502874;3:0.8472885504289931,0:0.15526196988630542;1:0.17061724290741215;3:0.31098175402345046,0:0.09870145478285064;1:0.12038192188828617;3:0.374084611045583,0:0.2334853527158226;1:0.27849858741869765;3:0.6709839707481748,0:0.12312113966008997;1:0.13629215753845103;3:0.2615835195401597,0:0.05989533874973102;1:0.07496958416825988;3:0.27835979129767063,0:0.12219215797534594;1:0.1529202901757339;3:0.5023739344821212,0:0.10229613086812556;1:0.11387369378814183;3:0.22737414710293025,0:0.1991833906122571;1:0.23311240141787504;3:0.5491009092203478,0:0.5001537133394534;1:0.5558653483578572;3:0.8790867933315505,0:0.16409334259643127;1:0.17999648391498857;3:0.3239365006547972,0:0.0841209399452873;1:0.10348004356829849;3:0.3409238017792581,0:0.19133776810741582;1:0.23181948554145881;3:0.6167940088559025,0:0.1158726026242522;1:0.1285061587179704;3:0.24989457312461366,0:0.04150958386712039;1:0.052882593443093984;3:0.22198729918773125,0:0.07280435258927942;1:0.0942365382493856;3:0.38775687156769206,0:0.08991526339263572;1:0.10046918845405423;3:0.20604443256733995,0:0.02274488247293005;1:0.02976958459918616;3:0.15099731169541591,0:0.029252153153094873;1:0.03990489290914184;3:0.2351929123263149,0:0.07348349856055897;1:0.08257858359929121;3:0.1763734292212807,0:0.1332393391000518;1:0.1597947200727765;3:0.44303588829684015,0:0.33131102066383955;1:0.38354374129434976;3:0.7684502464505415,0:0.13855727797209455;1:0.15281617002910686;3:0.28577497025779725,0:0.05003218082814537;1:0.06317744468288816;3:0.2493267539388755,0:0.09515571702666137;1:0.12109122041730541;3:0.44448414813321613,0:0.09595892035040954;1:0.10702012463277644;3:0.2165573740642049,0:0.02274488247293005;1:0.02976958459918616;3:0.15099731169541591,0:0.029252153153094873;1:0.03990489290914184;3:0.2351929123263149,0:0.07348349856055897;1:0.08257858359929121;3:0.1763734292212807,0:0.011702326106894145;1:0.015743725109353734;3:0.0970007772942344,0:0.00994063098531206;1:0.014317618312424896;3:0.12332336694211687,0:0.059453288930970793;1:0.06719855765356458;3:0.14955921644657422,0:0.09870145478285064;1:0.12038192188828617;3:0.374084611045583,0:0.2334853527158226;1:0.27849858741869765;3:0.6709839707481748,0:0.12312113966008997;1:0.13629215753845103;3:0.2615835195401597,0:0.03420326354321723;1:0.043965602258957126;3:0.1964451156881395,0:0.0547129181477673;1:0.07205301424524607;3:0.3333321272741308,0:0.08415917196362727;1:0.09421578938855601;3:0.1958402790237993,0:0.014707671511764775;1:0.019605363000813114;3:0.11315034163261645,0:0.014517138727658474;1:0.02053059388623768;3:0.15553670877821107,0:0.06387571088874033;1:0.07205785111821161;3:0.15817775790078414,0:0.00725181600366015;1:0.009939198184342246;3:0.06989012069253947,0:0.00440033126272843;1:0.006576624099210837;3:0.07357758872442516,0:0.051331278452488305;1:0.05824408849939744;3:0.13327845683205947,0:0.05989533874973102;1:0.07496958416825988;3:0.27835979129767063,0:0.12219215797534594;1:0.1529202901757339;3:0.5023739344821212,0:0.10229613086812556;1:0.11387369378814183;3:0.22737414710293025,0:0.018354485995059455;1:0.02424324099181724;3:0.13113236934165118,0:0.02080196302374382;1:0.028890800013139928;3:0.19285819869151327,0:0.06854984603257719;1:0.07718208940943455;3:0.16711595656098666,0:0.00725181600366015;1:0.009939198184342246;3:0.06989012069253947,0:0.00440033126272843;1:0.006576624099210837;3:0.07357758872442516,0:0.051331278452488305;1:0.05824408849939744;3:0.13327845683205947,0:0.003351924376658988;1:0.004725392882012014;3:0.04064265990822585,0:0.0011201235048156066;1:0.0017711959062824412;3:0.02962493356467366,0:0.04083025479162883;1:0.046601629824221114;3:0.1112176875342073,0:0.04150958386712039;1:0.052882593443093984;3:0.22198729918773125,0:0.07280435258927942;1:0.0942365382493856;3:0.38775687156769206,0:0.08991526339263572;1:0.10046918845405423;3:0.20604443256733995,0:0.011702326106894145;1:0.015743725109353734;3:0.0970007772942344,0:0.00994063098531206;1:0.014317618312424896;3:0.12332336694211687,0:0.059453288930970793;1:0.06719855765356458;3:0.14955921644657422,0:0.004366676273841852;1:0.0060981527158263105;3:0.04902438613576304,0:0.0018023916777763493;1:0.002796679525783108;3:0.04086157562832404,0:0.04411761916677859;1:0.05025492938131526;3:0.11826049373086922,0:0.0019324306227440635;1:0.0027764259029298133;3:0.027362429467395588,0:0.00040771394919364434;1:0.0006697150067161983;3:0.014723299027473102,0:0.03485176188104344;1:0.03993523729215598;3:0.09804381190688088,0:0.02274488247293005;1:0.02976958459918616;3:0.15099731169541591,0:0.029252153153094873;1:0.03990489290914184;3:0.2351929123263149,0:0.07348349856055897;1:0.08257858359929121;3:0.1763734292212807,0:0.005647605676679712;1:0.00781324849369891;3:0.05873300273871279,0:0.002843850790907154;1:0.004330498764048618;3:0.05533220832323049,0:0.047615120568938185;1:0.05413295290516984;3:0.12561292428728887,0:0.0019324306227440635;1:0.0027764259029298133;3:0.027362429467395588,0:0.00040771394919364434;1:0.0006697150067161983;3:0.014723299027473102,0:0.03485176188104344;1:0.03993523729215598;3:0.09804381190688088,0:0.0008006968267787462;1:0.0011838872612806584;3:0.014344965982089786,0:7.710645155162288e-05;1:0.00013417700704065894;3:0.00447266151102943,0:0.027247327877189143;1:0.031408161466504436;3:0.08048302195125134
3,151.91204664734653,216.41547138319444,10,84413489,0:0.7691726168757171;1:0.7358611015809313;2:0.7149263457882747,0:0.9822087852490995;1:0.975817797389029;2:0.9711674934955811,0:0.426860216746377;1:0.40471583834501856;2:0.3916708137915475,0:0.5803509765007699;1:0.5387574407913478;2:0.513761269084454,0:0.8903337263334237;1:0.8645059793766927;2:0.8472885504289931,0:0.3436668596400162;1:0.3230230956293919;2:0.31098175402345046,0:0.43929214949651096;1:0.3981063182174306;2:0.374084611045583,0:0.74088079627267;1:0.697962158400306;2:0.6709839707481748,0:0.2918879372506264;1:0.27270131882472937;2:0.2615835195401597,0:0.33745066654980016;1:0.2998199598751515;2:0.27835979129767063,0:0.5829249810360562;1:0.5326238418987629;2:0.5023739344821212,0:0.25561329645318587;1:0.23770180577841493;2:0.22737414710293025,0:0.6147344754912082;1:0.5738531812796311;2:0.5491009092203478,0:0.9152582429199876;1:0.8936821202972913;2:0.8790867933315505,0:0.3571356701863588;1:0.3361799668150304;2:0.3239365006547972,0:0.40452452458782695;1:0.36424283943179836;2:0.3409238017792581,0:0.6916394651985895;1:0.6454213186343197;2:0.6167940088559025,0:0.2795334195512164;1:0.26075683610832057;2:0.24989457312461366,0:0.27518407319797794;1:0.2411225559884146;2:0.22198729918773125,0:0.4674272085182338;1:0.4171251305683416;2:0.38775687156769206,0:0.2328082505857731;1:0.2158120408140407;2:0.20604443256733995,0:0.19382821919914017;1:0.16618209263845057;2:0.15099731169541591,0:0.3020826209289229;1:0.2591607788594861;2:0.2351929123263149,0:0.2008241561347079;1:0.18526880410701535;2:0.1763734292212807,0:0.5099779678581711;1:0.4679301558971584;2:0.44303588829684015,0:0.8256680522222938;1:0.7909348490971477;2:0.7684502464505415,0:0.3173304542733507;1:0.2973759443382799;2:0.28577497025779725,0:0.3056145892800003;1:0.26967134101169576;2:0.2493267539388755,0:0.5254438602059113;1:0.4746072573028427;2:0.44448414813321613,0:0.2440671194764769;1:0.22660774186471316;2:0.2165573740642049,0:0.19382821919914017;1:0.16618209263845057;2:0.15099731169541591,0:0.3020826209289229;1:0.2591607788594861;2:0.2351929123263149,0:0.2008241561347079;1:0.18526880410701535;2:0.1763734292212807,0:0.129123978588022;1:0.10822379767210455;2:0.0970007772942344,0:0.16976324751608146;1:0.13948943814141584;2:0.12332336694211687,0:0.17163287425786172;1:0.15756448791437228;2:0.14955921644657422,0:0.43929214949651096;1:0.3981063182174306;2:0.374084611045583,0:0.74088079627267;1:0.697962158400306;2:0.6709839707481748,0:0.2918879372506264;1:0.27270131882472937;2:0.2615835195401597,0:0.24632583050762275;1:0.2143013294098851;2:0.1964451156881395,0:0.4100955413988159;1:0.36136446180446247;2:0.3333321272741308,0:0.2218440361554062;1:0.2053205490770703;2:0.1958402790237993,0:0.14878629293693862;1:0.12566175423483733;2:0.11315034163261645,0:0.20910205894296607;1:0.17436496610482644;2:0.15553670877821107,0:0.18104709588433654;1:0.16648032886129388;2:0.15817775790078414,0:0.09538245329383105;1:0.07870924685891711;2:0.06989012069253947,0:0.10634143957297065;1:0.08476169243701653;2:0.07357758872442516,0:0.1537615405145044;1:0.14069124508573583;2:0.13327845683205947,0:0.33745066654980016;1:0.2998199598751515;2:0.27835979129767063,0:0.5829249810360562;1:0.5326238418987629;2:0.5023739344821212,0:0.25561329645318587;1:0.23770180577841493;2:0.22737414710293025,0:0.1703548004152441;1:0.14497034640411538;2:0.13113236934165118,0:0.2533514155379498;1:0.21432752525114773;2:0.19285819869151327,0:0.19077839058335083;1:0.17571549865562314;2:0.16711595656098666,0:0.09538245329383105;1:0.07870924685891711;2:0.06989012069253947,0:0.10634143957297065;1:0.08476169243701653;2:0.07357758872442516,0:0.1537615405145044;1:0.14069124508573583;2:0.13327845683205947,0:0.057629799339838916;1:0.04643256902592535;2:0.04064265990822585,0:0.04619690715076713;1:0.03511548750290766;2:0.02962493356467366,0:0.12934677352385893;1:0.11775781749917691;2:0.1112176875342073,0:0.27518407319797794;1:0.2411225559884146;2:0.22198729918773125,0:0.4674272085182338;1:0.4171251305683416;2:0.38775687156769206,0:0.2328082505857731;1:0.2158120408140407;2:0.20604443256733995,0:0.129123978588022;1:0.10822379767210455;2:0.0970007772942344,0:0.16976324751608146;1:0.13948943814141584;2:0.12332336694211687,0:0.17163287425786172;1:0.15756448791437228;2:0.14955921644657422,0:0.06862667380675208;1:0.055738984162907845;2:0.04902438613576304,0:0.06210468256450602;1:0.04797057561976098;2:0.04086157562832404,0:0.13716748904096848;1:0.1250884686781124;2:0.11826049373086922,0:0.039821252747548885;1:0.03156663749127159;2:0.027362429467395588,0:0.02418950095346495;1:0.017796842962683468;2:0.014723299027473102,0:0.11464588422928768;1:0.10402040781656419;2:0.09804381190688088,0:0.19382821919914017;1:0.16618209263845057;2:0.15099731169541591,0:0.3020826209289229;1:0.2591607788594861;2:0.2351929123263149,0:0.2008241561347079;1:0.18526880410701535;2:0.1763734292212807,0:0.08117543202890215;1:0.06645870478316501;2:0.05873300273871279,0:0.08199413899011615;1:0.06434384183352221;2:0.05533220832323049,0:0.14530518876410303;1:0.13273200075177727;2:0.12561292428728887,0:0.039821252747548885;1:0.03156663749127159;2:0.027362429467395588,0:0.02418950095346495;1:0.017796842962683468;2:0.014723299027473102,0:0.11464588422928768;1:0.10402040781656419;2:0.09804381190688088,0:0.021721232535646395;1:0.01679671129662058;2:0.014344965982089786,0:0.007960853190354611;1:0.005570893839933477;2:0.00447266151102943,0:0.09488893897645889;1:0.08565255900992524;2:0.08048302195125134
