id,x,y,drift,activation,sf6_ptx7_urban,sf6_ptx7_forest,sf6_ptx7_coast,sf6_ptx13_urban,sf6_ptx13_forest,sf6_ptx13_coast,sf6_ptx17_urban,sf6_ptx17_forest,sf6_ptx17_coast,sf6_ptx20_urban,sf6_ptx20_forest,sf6_ptx20_coast,sf7_ptx7_urban,sf7_ptx7_forest,sf7_ptx7_coast,sf7_ptx13_urban,sf7_ptx13_forest,sf7_ptx13_coast,sf7_ptx17_urban,sf7_ptx17_forest,sf7_ptx17_coast,sf7_ptx20_urban,sf7_ptx20_forest,sf7_ptx20_coast,sf8_ptx7_urban,sf8_ptx7_forest,sf8_ptx7_coast,sf8_ptx13_urban,sf8_ptx13_forest,sf8_ptx13_coast,sf8_ptx17_urban,sf8_ptx17_forest,sf8_ptx17_coast,sf8_ptx20_urban,sf8_ptx20_forest,sf8_ptx20_coast,sf9_ptx7_urban,sf9_ptx7_forest,sf9_ptx7_coast,sf9_ptx13_urban,sf9_ptx13_forest,sf9_ptx13_coast,sf9_ptx17_urban,sf9_ptx17_forest,sf9_ptx17_coast,sf9_ptx20_urban,sf9_ptx20_forest,sf9_ptx20_coast,sf10_ptx7_urban,sf10_ptx7_forest,sf10_ptx7_coast,sf10_ptx13_urban,sf10_ptx13_forest,sf10_ptx13_coast,sf10_ptx17_urban,sf10_ptx17_forest,sf10_ptx17_coast,sf10_ptx20_urban,sf10_ptx20_forest,sf10_ptx20_coast,sf11_ptx7_urban,sf11_ptx7_forest,sf11_ptx7_coast,sf11_ptx13_urban,sf11_ptx13_forest,sf11_ptx13_coast,sf11_ptx17_urban,sf11_ptx17_forest,sf11_ptx17_coast,sf11_ptx20_urban,sf11_ptx20_forest,sf11_ptx20_coast,sf12_ptx7_urban,sf12_ptx7_forest,sf12_ptx7_coast,sf12_ptx13_urban,sf12_ptx13_forest,sf12_ptx13_coast,sf12_ptx17_urban,sf12_ptx17_forest,sf12_ptx17_coast,sf12_ptx20_urban,sf12_ptx20_forest,sf12_ptx20_coast
0,250.0,250.0,-9,110636726,1:0.3758034409658792;2:0.7595696469463799;3:0.8269396990336804,1:0.7965086367051653;2:0.9804885456221222;3:0.9906309844357243,1:0.22631717448882516;2:0.42028197531504385;3:0.47071537315584405,1:0.19770296319660619;2:0.568118323302915;3:0.658659488653062,1:0.4823934593547874;2:0.8830912952125722;3:0.9302076872540828,1:0.16623943539401131;2:0.33750769964605964;3:0.3853060907378505,1:0.11402250047012452;2:0.42701850017139154;3:0.5212343683567832,1:0.2655299051199914;2:0.7285193874336007;3:0.8146326428763819,1:0.13252495483070248;2:0.2861469610266951;3:0.3310644123964633,1:0.07050006612640647;2:0.3261257225546874;3:0.4155017028303362,1:0.14387504917009541;2:0.5681475596198766;3:0.676673472217984,1:0.1105542494061949;2:0.2502422538648297;3:0.29252363533424497,1:0.22333877243799882;2:0.6027510924548013;3:0.6906509312625426,1:0.5403886988273798;2:0.9092487641503686;3:0.9476946100092223,1:0.17546613683048062;2:0.350887960898894;3:0.3992751204895609,1:0.09778107232662331;2:0.3924808500103599;3:0.4857858774332138,1:0.2200721906939459;2:0.6782392368004644;3:0.7732333689148976,1:0.12488977115535865;2:0.2739110782336177;3:0.3179901936823111,1:0.04948633861269508;2:0.26486624297926287;3:0.3478274319031326,1:0.0878377157069386;2:0.4524551179289326;3:0.5664314011742543,1:0.09743836626175062;2:0.2277043217074997;3:0.2680477832009157,1:0.02764938912685333;2:0.18537186884941909;3:0.2553142774101361,1:0.036656896477207324;2:0.28905685945859727;3:0.3938166056317488,1:0.07996040518146696;2:0.19614282006275835;3:0.2333743655153211,1:0.1520613927312805;2:0.49752968192632113;3:0.5913540980615474,1:0.36871138830736944;2:0.8157966804786864;3:0.8822320469698391,1:0.1487443787346872;2:0.3113683261780574;3:0.35782630870049864,1:0.059265920102190894;2:0.29476213881633595;3:0.38121026760416565,1:0.11340238794664853;2:0.5104110253639863;3:0.6228050987027615,1:0.10384617633248944;2:0.23882787666255356;3:0.2801561919488361,1:0.02764938912685333;2:0.18537186884941909;3:0.2553142774101361,1:0.036656896477207324;2:0.28905685945859727;3:0.3938166056317488,1:0.07996040518146696;2:0.19614282006275835;3:0.2333743655153211,1:0.014510986317221919;2:0.12266896886254908;3:0.1776062729626386,1:0.012955152131981618;2:0.16039803174474382;3:0.24007339039109393,1:0.06496357867595437;2:0.16738989956614386;3:0.201343925355844,1:0.11402250047012452;2:0.42701850017139154;3:0.5212343683567832,1:0.2655299051199914;2:0.7285193874336007;3:0.8146326428763819,1:0.13252495483070248;2:0.2861469610266951;3:0.3310644123964633,1:0.04103994591889931;2:0.23659347962725152;3:0.31558471843993147,1:0.06683939697901259;2:0.39549653366360776;3:0.5086705406063184,1:0.09132546074367998;2:0.21687849187802327;3:0.2562086359473613,1:0.018116674479230266;2:0.14166722002937454;3:0.20167955570993346,1:0.018671550225279776;2:0.19842429702534242;3:0.2875671411561143,1:0.06969869933763051;2:0.1766569655845453;3:0.21171634959967406,1:0.009113707803031612;2:0.09019982252453812;3:0.13516482416942616,1:0.005889877923521747;2:0.09958075156970836;3:0.1593367974208253,1:0.056246127363320464;2:0.1498139238385881;3:0.1815348623193352,1:0.07050006612640647;2:0.3261257225546874;3:0.4155017028303362,1:0.14387504917009541;2:0.5681475596198766;3:0.676673472217984,1:0.1105542494061949;2:0.2502422538648297;3:0.29252363533424497,1:0.022459608179671187;2:0.16256513514126297;3:0.22760779216343852,1:0.02640736465320198;2:0.24143235540375507;3:0.339090830964205,1:0.07469515413908906;2:0.18624199899328792;3:0.2223949881772045,1:0.009113707803031612;2:0.09019982252453812;3:0.13516482416942616,1:0.005889877923521747;2:0.09958075156970836;3:0.1593367974208253,1:0.056246127363320464;2:0.1498139238385881;3:0.1815348623193352,1:0.004299068942282214;2:0.054115842359546584;3:0.08550426437018172,1:0.0015615445785311377;2:0.04265941449895644;3:0.07580489024546838,1:0.044929563064430855;2:0.12583902900682586;3:0.15420058651003032,1:0.04948633861269508;2:0.26486624297926287;3:0.3478274319031326,1:0.0878377157069386;2:0.4524551179289326;3:0.5664314011742543,1:0.09743836626175062;2:0.2277043217074997;3:0.2680477832009157,1:0.014510986317221919;2:0.12266896886254908;3:0.1776062729626386,1:0.012955152131981618;2:0.16039803174474382;3:0.24007339039109393,1:0.06496357867595437;2:0.16738989956614386;3:0.201343925355844,1:0.005562567825243336;2:0.0645950602143206;3:0.10025823578027887,1:0.0024786522155221813;2:0.05762072669078805;3:0.09881936129652963,1:0.04847826554389739;2:0.13351403088705;3:0.16299274065858665,1:0.00251262939794733;2:0.037214271140870614;3:0.06096199079947068,1:0.0005842157667004244;2:0.022123350343949078;3:0.04226469525656845,1:0.038460112408388536;2:0.11142515614496412;3:0.13757409413227378,1:0.02764938912685333;2:0.18537186884941909;3:0.2553142774101361,1:0.036656896477207324;2:0.28905685945859727;3:0.3938166056317488,1:0.07996040518146696;2:0.19614282006275835;3:0.2333743655153211,1:0.007145695498599225;2:0.07658630396769528;3:0.1167889882674949,1:0.0038581849727103434;2:0.07642963515545242;3:0.12657167385958773,1:0.05224764160619039;2:0.1415049885549456;3:0.17210445037687705,1:0.00251262939794733;2:0.037214271140870614;3:0.06096199079947068,1:0.0005842157667004244;2:0.022123350343949078;3:0.04226469525656845,1:0.038460112408388536;2:0.11142515614496412;3:0.13757409413227378,1:0.001062875025815535;2:0.02015117207796946;3:0.03488393111982502,1:0.00011518132914245527;2:0.007174067213677748;3:0.015321788441020168,1:0.03019787621917619;2:0.09208325082429347;3:0.11500469302408595
1,232.77390693393986,215.60849944858202,2,276799238,0:0.3758034409658792;2:0.7456063366999245;3:0.8688698311797808,0:0.7965086367051653;2:0.9778122073753797;3:0.9948706867997441,0:0.22631717448882516;2:0.41100467402347146;3:0.509113450487205,0:0.19770296319660619;2:0.5506856342324609;3:0.721643679451682,0:0.4823934593547874;2:0.8722649651437018;3:0.9548317379247584,0:0.16623943539401131;2:0.3288597759024298;3:0.4225960793589656,0:0.11402250047012452;2:0.4097602418518415;3:0.5917992545665887,0:0.2655299051199914;2:0.7105258445724137;3:0.8667983617347959,0:0.13252495483070248;2:0.2781099346402457;3:0.3666804698568486,0:0.07050006612640647;2:0.3103606161181245;3:0.4862428535259438,0:0.14387504917009541;2:0.5470613871629317;3:0.7500675570966218,0:0.1105542494061949;2:0.24273972207033745;3:0.32645999104593315,0:0.22333877243799882;2:0.5856162948678927;3:0.750676527157343,0:0.5403886988273798;2:0.900205536132193;3:0.9670560554264038,0:0.17546613683048062;2:0.342109236948944;3:0.4368714390474694,0:0.09778107232662331;2:0.37560258311778366;3:0.556968194640714,0:0.2200721906939459;2:0.658862679787432;3:0.8329336647173523,0:0.12488977115535865;2:0.26604593371797114;3:0.35308361492495544,0:0.04948633861269508;2:0.25059892476728096;3:0.41594871910986975,0:0.0878377157069386;2:0.4313726904419649;3:0.6493556891295005,0:0.09743836626175062;2:0.2205854090353528;3:0.30069236023761897,0:0.02764938912685333;2:0.17379533017576676;3:0.3159923165509396,0:0.036656896477207324;2:0.27107609602972305;3:0.4788262434733683,0:0.07996040518146696;2:0.18962775619091332;3:0.2638694059609023,0:0.1520613927312805;2:0.47990819780072536;3:0.6590799908241729,0:0.36871138830736944;2:0.8012354486984861;3:0.919617660698514,0:0.1487443787346872;2:0.30300938476727424;3:0.3943660840254073,0:0.059265920102190894;2:0.27970525568453;3:0.4509031845632224,0:0.11340238794664853;2:0.4891022265025312;3:0.7016465090822095,0:0.10384617633248944;2:0.2315148413649868;3:0.3134623724287704,0:0.02764938912685333;2:0.17379533017576676;3:0.3159923165509396,0:0.036656896477207324;2:0.27107609602972305;3:0.4788262434733683,0:0.07996040518146696;2:0.18962775619091332;3:0.2638694059609023,0:0.014510986317221919;2:0.11392040093226391;3:0.22795393697464938,0:0.012955152131981618;2:0.14772444614906477;3:0.3121444731454066,0:0.06496357867595437;2:0.16149794719860577;3:0.22949446117706573,0:0.11402250047012452;2:0.4097602418518415;3:0.5917992545665887,0:0.2655299051199914;2:0.7105258445724137;3:0.8667983617347959,0:0.13252495483070248;2:0.2781099346402457;3:0.3666804698568486,0:0.04103994591889931;2:0.2231807023947605;3:0.3816471766899052,0:0.06683939697901259;2:0.37507526636898403;3:0.5940676493832419,0:0.09132546074367998;2:0.2099576993183987;3:0.2881625342062619,0:0.018116674479230266;2:0.13198633359587703;3:0.25568270097484624,0:0.018671550225279776;2:0.18387857507836364;3:0.36534023532691895,0:0.06969869933763051;2:0.17055617375081067;3:0.24066584031209642,0:0.009113707803031612;2:0.08322251377063383;3:0.1779046629803998,0:0.005889877923521747;2:0.09055196823653094;3:0.21743015102378876,0:0.056246127363320464;2:0.14434018867830872;3:0.2080478031488277,0:0.07050006612640647;2:0.3103606161181245;3:0.4862428535259438,0:0.14387504917009541;2:0.5470613871629317;3:0.7500675570966218,0:0.1105542494061949;2:0.24273972207033745;3:0.32645999104593315,0:0.022459608179671187;2:0.1519368700446777;3:0.28507716509072617,0:0.02640736465320198;2:0.22508786104193068;3:0.42126432384309775,0:0.07469515413908906;2:0.17993330653154016;3:0.2521268275079622,0:0.009113707803031612;2:0.08322251377063383;3:0.1779046629803998,0:0.005889877923521747;2:0.09055196823653094;3:0.21743015102378876,0:0.056246127363320464;2:0.14434018867830872;3:0.2080478031488277,0:0.004299068942282214;2:0.049432211929094416;3:0.11701406884487447,0:0.0015615445785311377;2:0.03802785720759366;3:0.1116912503524306,0:0.044929563064430855;2:0.12098595524588068;3:0.178195222232363,0:0.04948633861269508;2:0.25059892476728096;3:0.41594871910986975,0:0.0878377157069386;2:0.4313726904419649;3:0.6493556891295005,0:0.09743836626175062;2:0.2205854090353528;3:0.30069236023761897,0:0.014510986317221919;2:0.11392040093226391;3:0.22795393697464938,0:0.012955152131981618;2:0.14772444614906477;3:0.3121444731454066,0:0.06496357867595437;2:0.16149794719860577;3:0.22949446117706573,0:0.005562567825243336;2:0.05920348960195254;3:0.13541404532534057,0:0.0024786522155221813;2:0.05171109145480235;3:0.14185495585915986,0:0.04847826554389739;2:0.1284556326487118;3:0.18783181960536494,0:0.00251262939794733;2:0.03376263864350432;3:0.08568355180892795,0:0.0005842157667004244;2:0.01945365898505569;3:0.06568725275682108,0:0.038460112408388536;2:0.10697573869577975;3:0.15987647707328406,0:0.02764938912685333;2:0.17379533017576676;3:0.3159923165509396,0:0.036656896477207324;2:0.27107609602972305;3:0.4788262434733683,0:0.07996040518146696;2:0.18962775619091332;3:0.2638694059609023,0:0.007145695498599225;2:0.07042862459606775;3:0.15570480587580227,0:0.0038581849727103434;2:0.06904728332662008;3:0.17710293579930447,0:0.05224764160619039;2:0.13623954072931865;3:0.19778376342478143,0:0.00251262939794733;2:0.03376263864350432;3:0.08568355180892795,0:0.0005842157667004244;2:0.01945365898505569;3:0.06568725275682108,0:0.038460112408388536;2:0.10697573869577975;3:0.15987647707328406,0:0.001062875025815535;2:0.018093123308662973;3:0.05107790882075147,0:0.00011518132914245527;2:0.006177365307671323;3:0.025864330696686477,0:0.03019787621917619;2:0.08821576414220067;3:0.13479289490498642
2,150.68079656947526,266.46629569713275,3,189690507,0:0.7595696469463799;1:0.7456063366999245;3:0.7361366136979688,0:0.9804885456221222;1:0.9778122073753797;3:0.9758756410194456,0:0.42028197531504385;1:0.41100467402347146;3:0.4048916505677799,0:0.568118323302915;1:0.5506856342324609;3:0.5390920535540326,0:0.8830912952125722;1:0.8722649651437018;3:0.864727597950333,0:0.33750769964605964;1:0.3288597759024298;3:0.3231859871058649,0:0.42701850017139154;1:0.4097602418518415;3:0.3984315411184324,0:0.7285193874336007;1:0.7105258445724137;3:0.6983173571326937,0:0.2861469610266951;1:0.2781099346402457;3:0.2728520908486614,0:0.3261257225546874;1:0.3103606161181245;3:0.30011296804368537,0:0.5681475596198766;1:0.5470613871629317;3:0.5330288856055181,0:0.2502422538648297;1:0.24273972207033745;3:0.23784212335574267,0:0.6027510924548013;1:0.5856162948678927;3:0.5741835920467669,0:0.9092487641503686;1:0.900205536132193;3:0.8938689239860385,0:0.350887960898894;1:0.342109236948944;3:0.33634548972695444,0:0.3924808500103599;1:0.37560258311778366;3:0.3645594403120005,0:0.6782392368004644;1:0.658862679787432;3:0.645800357135092,0:0.2739110782336177;1:0.26604593371797114;3:0.2609042341539971,0:0.26486624297926287;1:0.25059892476728096;3:0.24138529314062035,0:0.4524551179289326;1:0.4313726904419649;3:0.41752279195332026,0:0.2277043217074997;1:0.2205854090353528;3:0.21594491389495551,0:0.18537186884941909;1:0.17379533017576676;3:0.16639234852383,0:0.28905685945859727;1:0.27107609602972305;3:0.2594907815911419,0:0.19614282006275835;1:0.18962775619091332;3:0.18539003700147128,0:0.49752968192632113;1:0.47990819780072536;3:0.46826529471644057,0:0.8157966804786864;1:0.8012354486984861;3:0.7912275622900329,0:0.3113683261780574;1:0.30300938476727424;3:0.2975330736741165,0:0.29476213881633595;1:0.27970525568453;3:0.2699498994630174,0:0.5104110253639863;1:0.4891022265025312;3:0.47501286719082364,0:0.23882787666255356;1:0.2315148413649868;3:0.22674437671004566,0:0.18537186884941909;1:0.17379533017576676;3:0.16639234852383,0:0.28905685945859727;1:0.27107609602972305;3:0.2594907815911419,0:0.19614282006275835;1:0.18962775619091332;3:0.18539003700147128,0:0.12266896886254908;1:0.11392040093226391;3:0.10838050585426617,0:0.16039803174474382;1:0.14772444614906477;3:0.1397157492272837,0:0.16738989956614386;1:0.16149794719860577;3:0.15767379271511478,0:0.42701850017139154;1:0.4097602418518415;3:0.3984315411184324,0:0.7285193874336007;1:0.7105258445724137;3:0.6983173571326937,0:0.2861469610266951;1:0.2781099346402457;3:0.2728520908486614,0:0.23659347962725152;1:0.2231807023947605;3:0.21454719354123997,0:0.39549653366360776;1:0.37507526636898403;3:0.3617461568738801,0:0.21687849187802327;1:0.2099576993183987;3:0.20544959333494062,0:0.14166722002937454;1:0.13198633359587703;3:0.12583596512422823,0:0.19842429702534242;1:0.18387857507836364;3:0.17462709294264472,0:0.1766569655845453;1:0.17055617375081067;3:0.16659362284263268,0:0.09019982252453812;1:0.08322251377063383;3:0.07883307804573314,0:0.09958075156970836;1:0.09055196823653094;3:0.08491999546972168,0:0.1498139238385881;1:0.14434018867830872;3:0.14079258545071593,0:0.3261257225546874;1:0.3103606161181245;3:0.30011296804368537,0:0.5681475596198766;1:0.5470613871629317;3:0.5330288856055181,0:0.2502422538648297;1:0.24273972207033745;3:0.23784212335574267,0:0.16256513514126297;1:0.1519368700446777;3:0.14516249068429393,0:0.24143235540375507;1:0.22508786104193068;3:0.21462477082094816,0:0.18624199899328792;1:0.17993330653154016;3:0.17583277234407485,0:0.09019982252453812;1:0.08322251377063383;3:0.07883307804573314,0:0.09958075156970836;1:0.09055196823653094;3:0.08491999546972168,0:0.1498139238385881;1:0.14434018867830872;3:0.14079258545071593,0:0.054115842359546584;1:0.049432211929094416;3:0.046514547836202236,0:0.04265941449895644;1:0.03802785720759366;3:0.03519449188141921,0:0.12583902900682586;1:0.12098595524588068;3:0.11784739385347098,0:0.26486624297926287;1:0.25059892476728096;3:0.24138529314062035,0:0.4524551179289326;1:0.4313726904419649;3:0.41752279195332026,0:0.2277043217074997;1:0.2205854090353528;3:0.21594491389495551,0:0.12266896886254908;1:0.11392040093226391;3:0.10838050585426617,0:0.16039803174474382;1:0.14772444614906477;3:0.1397157492272837,0:0.16738989956614386;1:0.16149794719860577;3:0.15767379271511478,0:0.0645950602143206;1:0.05920348960195254;3:0.05583379163095059,0:0.05762072669078805;1:0.05171109145480235;3:0.04807230950021596,0:0.13351403088705;1:0.1284556326487118;3:0.12518192964426755,0:0.037214271140870614;1:0.03376263864350432;3:0.03162649592518402,0:0.022123350343949078;1:0.01945365898505569;3:0.017841554230964562,0:0.11142515614496412;1:0.10697573869577975;3:0.10410236708014659,0:0.18537186884941909;1:0.17379533017576676;3:0.16639234852383,0:0.28905685945859727;1:0.27107609602972305;3:0.2594907815911419,0:0.19614282006275835;1:0.18962775619091332;3:0.18539003700147128,0:0.07658630396769528;1:0.07042862459606775;3:0.06656748552670644,0:0.07642963515545242;1:0.06904728332662008;3:0.06447209801376341,0:0.1415049885549456;1:0.13623954072931865;3:0.13282938602640043,0:0.037214271140870614;1:0.03376263864350432;3:0.03162649592518402,0:0.022123350343949078;1:0.01945365898505569;3:0.017841554230964562,0:0.11142515614496412;1:0.10697573869577975;3:0.10410236708014659,0:0.02015117207796946;1:0.018093123308662973;3:0.01683190986424421,0:0.007174067213677748;1:0.006177365307671323;3:0.005587132588139476,0:0.09208325082429347;1:0.08821576414220067;3:0.08572358235492583
3,181.0979809222632,355.35184001376126,8,145520207,0:0.8269396990336804;1:0.8688698311797808;2:0.7361366136979688,0:0.9906309844357243;1:0.9948706867997441;2:0.9758756410194456,0:0.47071537315584405;1:0.509113450487205;2:0.4048916505677799,0:0.658659488653062;1:0.721643679451682;2:0.5390920535540326,0:0.9302076872540828;1:0.9548317379247584;2:0.864727597950333,0:0.3853060907378505;1:0.4225960793589656;2:0.3231859871058649,0:0.5212343683567832;1:0.5917992545665887;2:0.3984315411184324,0:0.8146326428763819;1:0.8667983617347959;2:0.6983173571326937,0:0.3310644123964633;1:0.3666804698568486;2:0.2728520908486614,0:0.4155017028303362;1:0.4862428535259438;2:0.30011296804368537,0:0.676673472217984;1:0.7500675570966218;2:0.5330288856055181,0:0.29252363533424497;1:0.32645999104593315;2:0.23784212335574267,0:0.6906509312625426;1:0.750676527157343;2:0.5741835920467669,0:0.9476946100092223;1:0.9670560554264038;2:0.8938689239860385,0:0.3992751204895609;1:0.4368714390474694;2:0.33634548972695444,0:0.4857858774332138;1:0.556968194640714;2:0.3645594403120005,0:0.7732333689148976;1:0.8329336647173523;2:0.645800357135092,0:0.3179901936823111;1:0.35308361492495544;2:0.2609042341539971,0:0.3478274319031326;1:0.41594871910986975;2:0.24138529314062035,0:0.5664314011742543;1:0.6493556891295005;2:0.41752279195332026,0:0.2680477832009157;1:0.30069236023761897;2:0.21594491389495551,0:0.2553142774101361;1:0.3159923165509396;2:0.16639234852383,0:0.3938166056317488;1:0.4788262434733683;2:0.2594907815911419,0:0.2333743655153211;1:0.2638694059609023;2:0.18539003700147128,0:0.5913540980615474;1:0.6590799908241729;2:0.46826529471644057,0:0.8822320469698391;1:0.919617660698514;2:0.7912275622900329,0:0.35782630870049864;1:0.3943660840254073;2:0.2975330736741165,0:0.38121026760416565;1:0.4509031845632224;2:0.2699498994630174,0:0.6228050987027615;1:0.7016465090822095;2:0.47501286719082364,0:0.2801561919488361;1:0.3134623724287704;2:0.22674437671004566,0:0.2553142774101361;1:0.3159923165509396;2:0.16639234852383,0:0.3938166056317488;1:0.4788262434733683;2:0.2594907815911419,0:0.2333743655153211;1:0.2638694059609023;2:0.18539003700147128,0:0.1776062729626386;1:0.22795393697464938;2:0.10838050585426617,0:0.24007339039109393;1:0.3121444731454066;2:0.1397157492272837,0:0.201343925355844;1:0.22949446117706573;2:0.15767379271511478,0:0.5212343683567832;1:0.5917992545665887;2:0.3984315411184324,0:0.8146326428763819;1:0.8667983617347959;2:0.6983173571326937,0:0.3310644123964633;1:0.3666804698568486;2:0.2728520908486614,0:0.31558471843993147;1:0.3816471766899052;2:0.21454719354123997,0:0.5086705406063184;1:0.5940676493832419;2:0.3617461568738801,0:0.2562086359473613;1:0.2881625342062619;2:0.20544959333494062,0:0.20167955570993346;1:0.25568270097484624;2:0.12583596512422823,0:0.2875671411561143;1:0.36534023532691895;2:0.17462709294264472,0:0.21171634959967406;1:0.24066584031209642;2:0.16659362284263268,0:0.13516482416942616;1:0.1779046629803998;2:0.07883307804573314,0:0.1593367974208253;1:0.21743015102378876;2:0.08491999546972168,0:0.1815348623193352;1:0.2080478031488277;2:0.14079258545071593,0:0.4155017028303362;1:0.4862428535259438;2:0.30011296804368537,0:0.676673472217984;1:0.7500675570966218;2:0.5330288856055181,0:0.29252363533424497;1:0.32645999104593315;2:0.23784212335574267,0:0.22760779216343852;1:0.28507716509072617;2:0.14516249068429393,0:0.339090830964205;1:0.42126432384309775;2:0.21462477082094816,0:0.2223949881772045;1:0.2521268275079622;2:0.17583277234407485,0:0.13516482416942616;1:0.1779046629803998;2:0.07883307804573314,0:0.1593367974208253;1:0.21743015102378876;2:0.08491999546972168,0:0.1815348623193352;1:0.2080478031488277;2:0.14079258545071593,0:0.08550426437018172;1:0.11701406884487447;2:0.046514547836202236,0:0.07580489024546838;1:0.1116912503524306;2:0.03519449188141921,0:0.15420058651003032;1:0.178195222232363;2:0.11784739385347098,0:0.3478274319031326;1:0.41594871910986975;2:0.24138529314062035,0:0.5664314011742543;1:0.6493556891295005;2:0.41752279195332026,0:0.2680477832009157;1:0.30069236023761897;2:0.21594491389495551,0:0.1776062729626386;1:0.22795393697464938;2:0.10838050585426617,0:0.24007339039109393;1:0.3121444731454066;2:0.1397157492272837,0:0.201343925355844;1:0.22949446117706573;2:0.15767379271511478,0:0.10025823578027887;1:0.13541404532534057;2:0.05583379163095059,0:0.09881936129652963;1:0.14185495585915986;2:0.04807230950021596,0:0.16299274065858665;1:0.18783181960536494;2:0.12518192964426755,0:0.06096199079947068;1:0.08568355180892795;2:0.03162649592518402,0:0.04226469525656845;1:0.06568725275682108;2:0.017841554230964562,0:0.13757409413227378;1:0.15987647707328406;2:0.10410236708014659,0:0.2553142774101361;1:0.3159923165509396;2:0.16639234852383,0:0.3938166056317488;1:0.4788262434733683;2:0.2594907815911419,0:0.2333743655153211;1:0.2638694059609023;2:0.18539003700147128,0:0.1167889882674949;1:0.15570480587580227;2:0.06656748552670644,0:0.12657167385958773;1:0.17710293579930447;2:0.06447209801376341,0:0.17210445037687705;1:0.19778376342478143;2:0.13282938602640043,0:0.06096199079947068;1:0.08568355180892795;2:0.03162649592518402,0:0.04226469525656845;1:0.06568725275682108;2:0.017841554230964562,0:0.13757409413227378;1:0.15987647707328406;2:0.10410236708014659,0:0.03488393111982502;1:0.05107790882075147;2:0.01683190986424421,0:0.015321788441020168;1:0.025864330696686477;2:0.005587132588139476,0:0.11500469302408595;1:0.13479289490498642;2:0.08572358235492583
